,Exit Trade Id,Column,Size,Entry Order Id,Entry Index,Avg Entry Price,Entry Fees,Exit Order Id,Exit Index,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
19,19,0,0.030646785863352354,38,2018-05-24 07:00:00,7542.053704036787,0.0,39,2018-05-24 20:00:00,7538.491940201897,0.0,0.10915661354371764,0.0004722538415476907,Short,Closed,19
20,20,0,0.030686982608743987,40,2018-05-31 12:00:00,7539.288597200916,0.0,41,2018-05-31 18:00:00,7557.219168777859,0.0,0.5502351381464621,0.002378284283161562,Long,Closed,20
21,21,0,0.034343980931336116,42,2018-06-11 03:00:00,6768.536495686197,0.0,43,2018-06-11 08:00:00,6783.269965583815,0.0,-0.5060060092162075,-0.0021767585809736147,Short,Closed,21
22,22,0,0.0354012484562895,44,2018-06-13 03:00:00,6537.8054846918085,0.0,45,2018-06-13 11:00:00,6447.009919738055,0.0,3.2142763536569987,0.013887773988741357,Short,Closed,22
23,23,0,0.03713196621817139,46,2018-06-16 13:00:00,6406.20611448718,0.0,47,2018-06-17 03:00:00,6539.996500321012,0.0,-4.9679000870979735,-0.020884495978247524,Short,Closed,23
24,24,0,0.03571392835411732,48,2018-06-30 15:00:00,6382.36227041394,0.0,49,2018-06-30 21:00:00,6333.243652015655,0.0,-1.7542188183295764,-0.0076959934765813975,Long,Closed,24
25,25,0,0.03530044941803175,50,2018-07-16 03:00:00,6357.7318396486135,0.0,51,2018-07-16 14:00:00,6629.888961510067,0.0,9.607268714027356,0.04280726660476699,Long,Closed,25
26,26,0,0.033266691069769434,52,2018-07-19 02:00:00,7324.002502562969,0.0,53,2018-07-19 11:00:00,7414.549176284353,0.0,3.0121882220844896,0.012363004202920184,Long,Closed,26
27,27,0,0.03574960428397431,54,2018-08-04 20:00:00,6983.845278619502,0.0,55,2018-08-05 01:00:00,6934.0160168808425,0.0,1.781376388919682,0.007134932082646297,Short,Closed,27
28,28,0,0.039610862656488326,56,2018-08-11 22:00:00,6393.005374941235,0.0,57,2018-08-12 03:00:00,6273.306321557648,0.0,-4.741382763688932,-0.018723440129234582,Long,Closed,28
29,29,0,0.03827749614130282,58,2018-08-19 00:00:00,6367.963344357736,0.0,59,2018-08-19 07:00:00,6348.947984490522,0.0,0.7278603639427672,0.002986097569808143,Short,Closed,29
30,30,0,0.03810062053005018,60,2018-08-23 12:00:00,6435.732795378007,0.0,61,2018-08-23 17:00:00,6458.720309049192,0.0,0.8758385353151823,0.0035718564461990517,Long,Closed,30
31,31,0,0.03945151365621456,62,2018-09-11 20:00:00,6259.762104241219,0.0,63,2018-09-12 02:00:00,6255.9950364065935,0.0,0.14861652812163584,0.0006017908942695622,Short,Closed,31
32,32,0,0.03848331055871283,64,2018-09-25 14:00:00,6424.975388204755,0.0,65,2018-09-25 21:00:00,6397.992047365065,0.0,1.038408285445371,0.004199757852649006,Short,Closed,32
33,33,0,0.03787102020813404,66,2018-09-30 06:00:00,6583.692184603699,0.0,67,2018-09-30 14:00:00,6653.304001423576,0.0,2.6362705215104825,0.010573370514294042,Long,Closed,33
34,34,0,0.04043573884764124,68,2018-10-11 18:00:00,6296.501265121157,0.0,69,2018-10-12 01:00:00,6282.425895987499,0.0,0.5691479504727681,0.002235427031775198,Short,Closed,34
35,35,0,0.03885579038271881,70,2018-10-20 19:00:00,6581.824078013586,0.0,71,2018-10-21 01:00:00,6622.001585521532,0.0,1.5611288098288583,0.0061043119706219225,Long,Closed,35
36,36,0,0.040618381446357016,72,2018-11-03 18:00:00,6373.080982381245,0.0,73,2018-11-03 23:00:00,6387.094824894474,0.0,-0.5692196007315147,-0.002198911727619844,Short,Closed,36
37,37,0,0.03973672179980509,74,2018-11-04 23:00:00,6485.834348083697,0.0,75,2018-11-05 04:00:00,6472.7707298180685,0.0,-0.5191053647200761,-0.002014176983950703,Long,Closed,37
38,38,0,0.06117718723390469,76,2018-11-29 04:00:00,4195.805593653126,0.0,77,2018-11-29 12:00:00,4282.0151177559865,0.0,5.274056197386528,0.020546596399334458,Long,Closed,38
39,39,0,0.08112075732713489,78,2018-12-14 08:00:00,3294.2948956587793,0.0,79,2018-12-14 13:00:00,3283.014413237203,0.0,0.9150812770536731,0.0034242479130940466,Short,Closed,39
40,40,0,0.07196147971567068,80,2018-12-25 10:00:00,3739.026218081911,0.0,81,2018-12-25 17:00:00,3676.3074089012,0.0,4.513338314648763,0.016774102539694236,Short,Closed,40
41,41,0,0.0723274305968061,82,2018-12-29 06:00:00,3844.9110342161125,0.0,83,2018-12-29 12:00:00,3814.570280631702,0.0,-2.194468749131204,-0.007891145806601396,Long,Closed,41
42,42,0,0.07658462646942256,84,2019-01-23 10:00:00,3573.8712989502833,0.0,85,2019-01-23 18:00:00,3571.1529628891826,0.0,-0.20818275185774837,-0.0007606138648302743,Long,Closed,42
43,43,0,0.0766122089109077,86,2019-01-25 06:00:00,3567.14989505116,0.0,87,2019-01-25 11:00:00,3541.946467224839,0.0,-1.930890277901085,-0.007065424377396253,Long,Closed,43
44,44,0,0.07873531900484032,88,2019-01-29 02:00:00,3421.913517665644,0.0,89,2019-01-29 12:00:00,3394.112676486737,0.0,2.188908098824129,0.008124355287000926,Short,Closed,44
45,45,0,0.07928159726144725,90,2019-02-02 07:00:00,3453.5538898782006,0.0,91,2019-02-02 17:00:00,3464.362960784731,0.0,0.8569604063819725,0.0031298399420405885,Long,Closed,45
46,46,0,0.07529759535886817,92,2019-02-08 23:00:00,3659.043666901681,0.0,93,2019-02-09 06:00:00,3647.134490175886,0.0,-0.896732370156144,-0.003254723859548506,Long,Closed,46
47,47,0,0.07186255674513044,94,2019-02-26 11:00:00,3808.9895084205696,0.0,95,2019-02-26 16:00:00,3808.872445828577,0.0,0.008412417159831875,3.073324085935349e-05,Short,Closed,47
48,48,0,0.07357832862363005,96,2019-03-04 18:00:00,3720.396408092453,0.0,97,2019-03-05 00:00:00,3719.4072120220494,0.0,0.07278339354132868,0.00026588458913988887,Short,Closed,48
49,49,0,0.07143193865251211,98,2019-03-06 04:00:00,3834.2248786530727,0.0,99,2019-03-06 09:00:00,3853.927008652471,0.0,1.4073613414408328,0.005138490991774954,Long,Closed,49
50,50,0,0.06854335055818424,100,2019-03-21 06:00:00,4036.8735514305104,0.0,101,2019-03-21 12:00:00,4039.365010114083,0.0,0.17077292594933624,0.0006171753095138536,Long,Closed,50
51,51,0,0.06710323521440423,102,2019-04-01 11:00:00,4128.599522235749,0.0,103,2019-04-01 16:00:00,4150.234760627383,0.0,1.4517944907136098,0.005240333501738913,Long,Closed,51
52,52,0,0.059387799468716425,104,2019-04-02 18:00:00,4713.8633916812505,0.0,105,2019-04-03 00:00:00,4937.208806172481,0.0,13.263992688062558,0.04738054456252965,Long,Closed,52
